"plate"	"row"	"column"	"sample_type"	"sample"	"sample_name"	"concentration"	"dilution"	"time"	"replicate"	"treatment"	"cell_line"	"HGF"	"dilSeriesID"
2	H	7	measurement	Caki1_100ng_ml	Caki1_100ng_ml_rep2_60	0.9	1	60	2	100ng_ml	Caki1	100	Caki1
2	H	8	measurement	Caki1_100ng_ml	Caki1_100ng_ml_rep3_60	1.6	1	60	3	100ng_ml	Caki1	100	Caki1
2	H	9	measurement	Caki1_0ng_ml	Caki1_0ng_ml_rep1_120	1.6	1	120	1	0ng_ml	Caki1	0	Caki1
2	H	10	measurement	Caki1_0ng_ml	Caki1_0ng_ml_rep2_120	0.9	1	120	2	0ng_ml	Caki1	0	Caki1
2	H	11	measurement	Caki1_0ng_ml	Caki1_0ng_ml_rep3_120	1.6	1	120	3	0ng_ml	Caki1	0	Caki1
2	H	12	measurement	Caki1_10ng_ml	Caki1_10ng_ml_rep1_120	1.6	1	120	1	10ng_ml	Caki1	10	Caki1
2	H	13	measurement	Caki1_10ng_ml	Caki1_10ng_ml_rep2_120	0.9	1	120	2	10ng_ml	Caki1	10	Caki1
2	H	14	measurement	Caki1_10ng_ml	Caki1_10ng_ml_rep3_120	1.6	1	120	3	10ng_ml	Caki1	10	Caki1
2	I	3	measurement	Caki1_25ng_ml	Caki1_25ng_ml_rep1_120	1.6	1	120	1	25ng_ml	Caki1	25	Caki1
2	I	4	measurement	Caki1_25ng_ml	Caki1_25ng_ml_rep2_120	0.9	1	120	2	25ng_ml	Caki1	25	Caki1
2	I	5	measurement	Caki1_25ng_ml	Caki1_25ng_ml_rep3_120	1.6	1	120	3	25ng_ml	Caki1	25	Caki1
2	I	6	measurement	Caki1_50ng_ml	Caki1_50ng_ml_rep1_120	1.6	1	120	1	50ng_ml	Caki1	50	Caki1
2	I	7	measurement	Caki1_50ng_ml	Caki1_50ng_ml_rep2_120	0.9	1	120	2	50ng_ml	Caki1	50	Caki1
2	I	8	measurement	Caki1_50ng_ml	Caki1_50ng_ml_rep3_120	1.6	1	120	3	50ng_ml	Caki1	50	Caki1
2	I	9	measurement	Caki1_75ng_ml	Caki1_75ng_ml_rep1_120	1.6	1	120	1	75ng_ml	Caki1	75	Caki1
2	I	10	measurement	Caki1_75ng_ml	Caki1_75ng_ml_rep2_120	0.9	1	120	2	75ng_ml	Caki1	75	Caki1
2	I	11	measurement	Caki1_75ng_ml	Caki1_75ng_ml_rep3_120	1.6	1	120	3	75ng_ml	Caki1	75	Caki1
2	I	12	measurement	Caki1_100ng_ml	Caki1_100ng_ml_rep1_120	1.6	1	120	1	100ng_ml	Caki1	100	Caki1
2	I	13	measurement	Caki1_100ng_ml	Caki1_100ng_ml_rep2_120	0.9	1	120	2	100ng_ml	Caki1	100	Caki1
2	I	14	measurement	Caki1_100ng_ml	Caki1_100ng_ml_rep3_120	1.6	1	120	3	100ng_ml	Caki1	100	Caki1
2	J	3	control	Caki1_noHGF	Caki1_noHGF_dil1_0	2	1	0	1	0ng_ml	Caki1	0	NA
2	J	4	control	Caki1_noHGF	Caki1_noHGF_dil2_0	1	0.5	0	1	0ng_ml	Caki1	0	NA
2	J	5	control	Caki1_noHGF	Caki1_noHGF_dil3_0	0.5	0.25	0	1	0ng_ml	Caki1	0	NA
2	J	6	control	Caki1_noHGF	Caki1_noHGF_dil4_0	0.25	0.125	0	1	0ng_ml	Caki1	0	NA
2	J	7	control	Caki1_noHGF	Caki1_noHGF_dil5_0	0.125	0.0625	0	1	0ng_ml	Caki1	0	NA
2	J	8	control	Caki1_noHGF	Caki1_noHGF_dil6_0	0.0625	0.03125	0	1	0ng_ml	Caki1	0	NA
2	J	9	control	Caki1_HGF	Caki1_HGF_dil1_10	2	1	0	1	75ng_ml	Caki1	75	Caki1
2	J	10	control	Caki1_HGF	Caki1_HGF_dil2_10	1	0.5	0	1	75ng_ml	Caki1	75	Caki1
2	J	11	control	Caki1_HGF	Caki1_HGF_dil3_10	0.5	0.25	0	1	75ng_ml	Caki1	75	Caki1
2	J	12	control	Caki1_HGF	Caki1_HGF_dil4_10	0.25	0.125	0	1	75ng_ml	Caki1	75	Caki1
2	J	13	control	Caki1_HGF	Caki1_HGF_dil5_10	0.125	0.0625	0	1	75ng_ml	Caki1	75	Caki1
2	J	14	control	Caki1_HGF	Caki1_HGF_dil6_10	0.0625	0.03125	0	1	75ng_ml	Caki1	75	Caki1
