"plate"	"row"	"column"	"sample_type"	"sample"	"sample_name"	"concentration"	"dilution"	"time"	"replicate"	"treatment"	"cell_line"	"HGF"	"dilSeriesID"
2	C	18	measurement	Caki1_100ng_ml	Caki1_100ng_ml_rep1_0	1.6	1	0	1	100ng_ml	Caki1	100	Caki1
2	C	19	measurement	Caki1_100ng_ml	Caki1_100ng_ml_rep2_0	0.9	1	0	2	100ng_ml	Caki1	100	Caki1
2	C	20	measurement	Caki1_100ng_ml	Caki1_100ng_ml_rep3_0	1.6	1	0	3	100ng_ml	Caki1	100	Caki1
2	D	3	measurement	Caki1_0ng_ml	Caki1_0ng_ml_rep1_5	1.6	1	5	1	0ng_ml	Caki1	0	Caki1
2	D	4	measurement	Caki1_0ng_ml	Caki1_0ng_ml_rep2_5	0.9	1	5	2	0ng_ml	Caki1	0	Caki1
2	D	5	measurement	Caki1_0ng_ml	Caki1_0ng_ml_rep3_5	1.6	1	5	3	0ng_ml	Caki1	0	Caki1
2	D	6	measurement	Caki1_10ng_ml	Caki1_10ng_ml_rep1_5	1.6	1	5	1	10ng_ml	Caki1	10	Caki1
2	D	7	measurement	Caki1_10ng_ml	Caki1_10ng_ml_rep2_5	0.9	1	5	2	10ng_ml	Caki1	10	Caki1
2	D	8	measurement	Caki1_10ng_ml	Caki1_10ng_ml_rep3_5	1.6	1	5	3	10ng_ml	Caki1	10	Caki1
2	D	9	measurement	Caki1_25ng_ml	Caki1_25ng_ml_rep1_5	1.6	1	5	1	25ng_ml	Caki1	25	Caki1
2	D	10	measurement	Caki1_25ng_ml	Caki1_25ng_ml_rep2_5	0.9	1	5	2	25ng_ml	Caki1	25	Caki1
2	D	11	measurement	Caki1_25ng_ml	Caki1_25ng_ml_rep3_5	1.6	1	5	3	25ng_ml	Caki1	25	Caki1
2	D	12	measurement	Caki1_50ng_ml	Caki1_50ng_ml_rep1_5	1.6	1	5	1	50ng_ml	Caki1	50	Caki1
2	D	13	measurement	Caki1_50ng_ml	Caki1_50ng_ml_rep2_5	0.9	1	5	2	50ng_ml	Caki1	50	Caki1
2	D	14	measurement	Caki1_50ng_ml	Caki1_50ng_ml_rep3_5	1.6	1	5	3	50ng_ml	Caki1	50	Caki1
2	D	15	measurement	Caki1_75ng_ml	Caki1_75ng_ml_rep1_5	1.6	1	5	1	75ng_ml	Caki1	75	Caki1
2	D	16	measurement	Caki1_75ng_ml	Caki1_75ng_ml_rep2_5	0.9	1	5	2	75ng_ml	Caki1	75	Caki1
2	D	17	measurement	Caki1_75ng_ml	Caki1_75ng_ml_rep3_5	1.6	1	5	3	75ng_ml	Caki1	75	Caki1
2	D	18	measurement	Caki1_100ng_ml	Caki1_100ng_ml_rep1_5	1.6	1	5	1	100ng_ml	Caki1	100	Caki1
2	D	19	measurement	Caki1_100ng_ml	Caki1_100ng_ml_rep2_5	0.9	1	5	2	100ng_ml	Caki1	100	Caki1
2	D	20	measurement	Caki1_100ng_ml	Caki1_100ng_ml_rep3_5	1.6	1	5	3	100ng_ml	Caki1	100	Caki1
2	E	3	measurement	Caki1_0ng_ml	Caki1_0ng_ml_rep1_15	1.6	1	15	1	0ng_ml	Caki1	0	Caki1
2	E	4	measurement	Caki1_0ng_ml	Caki1_0ng_ml_rep2_15	0.9	1	15	2	0ng_ml	Caki1	0	Caki1
2	E	5	measurement	Caki1_0ng_ml	Caki1_0ng_ml_rep3_15	1.6	1	15	3	0ng_ml	Caki1	0	Caki1
2	E	6	measurement	Caki1_10ng_ml	Caki1_10ng_ml_rep1_15	1.6	1	15	1	10ng_ml	Caki1	10	Caki1
2	E	7	measurement	Caki1_10ng_ml	Caki1_10ng_ml_rep2_15	0.9	1	15	2	10ng_ml	Caki1	10	Caki1
2	E	8	measurement	Caki1_10ng_ml	Caki1_10ng_ml_rep3_15	1.6	1	15	3	10ng_ml	Caki1	10	Caki1
2	E	9	measurement	Caki1_25ng_ml	Caki1_25ng_ml_rep1_15	1.6	1	15	1	25ng_ml	Caki1	25	Caki1
