plate	row	column	sample_type	sample	sample.n	concentration	dilution
1	A	1	measurement	lysate_iii	1	4.36	1
1	A	2	measurement	lysate_iii	1	2.18	0.5
1	A	3	measurement	lysate_iii	1	1.09	0.25
1	A	4	measurement	lysate_iii	1	0.545	0.125
1	A	5	measurement	lysate_iii	1	0.2725	0.0625
1	A	6	measurement	lysate_iii	1	0.1363	0.0313
1	B	1	measurement	lysate_ii	1	3.924	1
1	B	2	measurement	lysate_ii	1	1.962	0.5
1	B	3	measurement	lysate_ii	1	0.981	0.25
1	B	4	measurement	lysate_ii	1	0.4905	0.125
1	B	5	measurement	lysate_ii	1	0.2453	0.0625
1	B	6	measurement	lysate_ii	1	0.1226	0.0313
1	C	1	measurement	lysate_i	1	3.5316	1
1	C	2	measurement	lysate_i	1	1.7658	0.5
1	C	3	measurement	lysate_i	1	0.8829	0.25
1	C	4	measurement	lysate_i	1	0.4415	0.125
1	C	5	measurement	lysate_i	1	0.2207	0.0625
1	C	6	measurement	lysate_i	1	0.1104	0.0313
1	D	1	measurement	lysate_iv	1	3.1784	1
1	D	2	measurement	lysate_iv	1	1.5892	0.5
1	D	3	measurement	lysate_iv	1	0.7946	0.25
1	D	4	measurement	lysate_iv	1	0.3973	0.125
1	D	5	measurement	lysate_iv	1	0.1987	0.0625
1	D	6	measurement	lysate_iv	1	0.0993	0.0313
1	E	1	measurement	lysate_xix	1	2.8606	1
1	E	2	measurement	lysate_xix	1	1.4303	0.5
1	E	3	measurement	lysate_xix	1	0.7151	0.25
1	E	4	measurement	lysate_xix	1	0.3576	0.125
1	E	5	measurement	lysate_xix	1	0.1788	0.0625
1	E	6	measurement	lysate_xix	1	0.0894	0.0313
1	F	1	measurement	lysate_ix	1	2.5745	1
1	F	2	measurement	lysate_ix	1	1.2873	0.5
1	F	3	measurement	lysate_ix	1	0.6436	0.25
1	F	4	measurement	lysate_ix	1	0.3218	0.125
1	F	5	measurement	lysate_ix	1	0.1609	0.0625
1	F	6	measurement	lysate_ix	1	0.0805	0.0313
1	G	1	measurement	lysate_vii	1	2.3171	1
1	G	2	measurement	lysate_vii	1	1.1585	0.5
1	G	3	measurement	lysate_vii	1	0.5793	0.25
1	G	4	measurement	lysate_vii	1	0.2896	0.125
1	G	5	measurement	lysate_vii	1	0.1448	0.0625
1	G	6	measurement	lysate_vii	1	0.0724	0.0313
1	H	1	measurement	lysate_viii	1	2.0854	1
1	H	2	measurement	lysate_viii	1	1.0427	0.5
1	H	3	measurement	lysate_viii	1	0.5213	0.25
1	H	4	measurement	lysate_viii	1	0.2607	0.125
1	H	5	measurement	lysate_viii	1	0.1303	0.0625
1	H	6	measurement	lysate_viii	1	0.0652	0.0313
1	I	1	measurement	lysate_vi	1	1.8768	1
1	I	2	measurement	lysate_vi	1	0.9384	0.5
1	I	3	measurement	lysate_vi	1	0.4692	0.25
1	I	4	measurement	lysate_vi	1	0.2346	0.125
1	I	5	measurement	lysate_vi	1	0.1173	0.0625
1	I	6	measurement	lysate_vi	1	0.0587	0.0313
1	J	1	measurement	lysate_x	1	1.6892	1
1	J	2	measurement	lysate_x	1	0.8446	0.5
1	J	3	measurement	lysate_x	1	0.4223	0.25
1	J	4	measurement	lysate_x	1	0.2111	0.125
1	J	5	measurement	lysate_x	1	0.1056	0.0625
1	J	6	measurement	lysate_x	1	0.0528	0.0313
1	K	1	measurement	lysate_xi	1	1.5202	1
1	K	2	measurement	lysate_xi	1	0.7601	0.5
1	K	3	measurement	lysate_xi	1	0.3801	0.25
1	K	4	measurement	lysate_xi	1	0.19	0.125
1	K	5	measurement	lysate_xi	1	0.095	0.0625
1	K	6	measurement	lysate_xi	1	0.0475	0.0313
1	L	1	measurement	lysate_xii	1	1.3682	1
1	L	2	measurement	lysate_xii	1	0.6841	0.5
1	L	3	measurement	lysate_xii	1	0.3421	0.25
1	L	4	measurement	lysate_xii	1	0.171	0.125
1	L	5	measurement	lysate_xii	1	0.0855	0.0625
1	L	6	measurement	lysate_xii	1	0.0428	0.0313
1	M	1	measurement	lysate_xiii	1	1.2314	1
1	M	2	measurement	lysate_xiii	1	0.6157	0.5
1	M	3	measurement	lysate_xiii	1	0.3078	0.25
1	M	4	measurement	lysate_xiii	1	0.1539	0.125
1	M	5	measurement	lysate_xiii	1	0.077	0.0625
1	M	6	measurement	lysate_xiii	1	0.0385	0.0313
1	N	1	measurement	lysate_xxiii	1	1.1083	1
1	N	2	measurement	lysate_xxiii	1	0.5541	0.5
1	N	3	measurement	lysate_xxiii	1	0.2771	0.25
1	N	4	measurement	lysate_xxiii	1	0.1385	0.125
1	N	5	measurement	lysate_xxiii	1	0.0693	0.0625
1	N	6	measurement	lysate_xxiii	1	0.0346	0.0313
1	O	1	measurement	lysate_xv	1	0.9974	1
1	O	2	measurement	lysate_xv	1	0.4987	0.5
1	O	3	measurement	lysate_xv	1	0.2494	0.25
